Component	GO.ID	Term	Annotated	Significant	Expected	Rank.in.classicFisher	classicFisher	elimFisher	topgoFisher
1	121	GO:0050427 	3'-phosphoadenosine 5'-phosphosulfate me...	25	3	0.05	15	1.3e-05	1.3e-05	1.3e-05
2	121	GO:0050853 	          B cell receptor signaling pathway	132	6	0.24	1	1.4e-07	3.8e-05	3.8e-05
3	121	GO:0006584 	            catecholamine metabolic process	53	3	0.10	25	0.00013	0.00013	0.00013
4	121	GO:0006068 	                  ethanol catabolic process	12	2	0.02	29	0.00022	0.00022	0.00022
5	121	GO:0051923 	                                  sulfation	16	2	0.03	32	0.00039	0.00039	0.00039
6	121	GO:0002250 	                   adaptive immune response	579	5	1.07	61	0.00397	0.00397	0.00095
7	174	GO:0019886 	antigen processing and presentation of e...	98	5	0.23	10	2.9e-06	2.9e-06	2.9e-06
8	174	GO:0002503 	peptide antigen assembly with MHC class ...	3	2	0.01	13	1.5e-05	1.5e-05	1.5e-05
9	174	GO:0042102 	positive regulation of T cell proliferat...	92	4	0.21	22	5.8e-05	5.8e-05	5.8e-05
10	201	GO:0000122 	negative regulation of transcription fro...	804	12	2.93	37	2.9e-05	2.9e-05	2.9e-05
11	201	GO:0032743 	positive regulation of interleukin-2 pro...	29	3	0.11	78	0.00016	0.00016	0.00016
12	201	GO:2001240 	negative regulation of extrinsic apoptot...	35	3	0.13	100	0.00028	0.00028	0.00028
13	201	GO:0045416 	positive regulation of interleukin-8 bio...	8	2	0.03	112	0.00036	0.00036	0.00036
14	201	GO:0002634 	    regulation of germinal center formation	9	2	0.03	131	0.00046	0.00046	0.00046
15	201	GO:0007204 	positive regulation of cytosolic calcium...	284	6	1.04	147	0.00058	0.00058	0.00058
16	201	GO:0018279 	protein N-linked glycosylation via aspar...	45	3	0.16	149	0.00059	0.00059	0.00059
17	201	GO:0032729 	positive regulation of interferon-gamma ...	61	4	0.22	61	7.2e-05	7.2e-05	0.00072
18	201	GO:0002430 	complement receptor mediated signaling p...	12	2	0.04	177	0.00084	0.00084	0.00084
19	201	GO:0002903 	negative regulation of B cell apoptotic ...	12	2	0.04	178	0.00084	0.00084	0.00084
20	202	GO:0070098 	chemokine-mediated signaling pathway       	82	5	0.31	8	1.4e-05	1.4e-05	1.4e-05
21	202	GO:0016525 	 negative regulation of angiogenesis       	96	4	0.36	42	0.00047	0.00047	0.00047
22	215	GO:0032496 	             response to lipopolysaccharide	323	8	1.18	2	2.2e-05	2.2e-05	1.7e-05
23	215	GO:0090023 	positive regulation of neutrophil chemot...	30	3	0.11	8	0.00018	0.00018	0.00018
24	215	GO:0031102 	             neuron projection regeneration	52	3	0.19	25	0.00090	0.00090	0.00090
25	22	GO:0060337 	        type I interferon signaling pathway	87	8	0.18	1	8.0e-12	8.0e-12	8.0e-12
26	22	GO:0045071 	negative regulation of viral genome repl...	53	7	0.11	4	1.3e-11	1.3e-11	1.3e-11
27	22	GO:0051607 	                  defense response to virus	252	9	0.52	9	1.7e-09	1.7e-09	7.0e-10
28	22	GO:0071276 	           cellular response to cadmium ion	38	3	0.08	48	6.6e-05	6.6e-05	6.6e-05
29	22	GO:0035455 	               response to interferon-alpha	20	3	0.04	42	9.2e-06	9.2e-06	0.00018
30	22	GO:0035690 	                  cellular response to drug	60	3	0.12	65	0.00026	0.00026	0.00026
31	22	GO:0010273 	               detoxification of copper ion	16	2	0.03	71	0.00049	0.00049	0.00049
32	22	GO:0050794 	             regulation of cellular process	11176	30	23.20	246	0.01305	0.54314	0.00060
33	22	GO:0046597 	negative regulation of viral entry into ...	18	2	0.04	77	0.00063	0.00063	0.00063
34	22	GO:0034341 	               response to interferon-gamma	194	4	0.40	81	0.00068	0.00068	0.00071
35	222	GO:0071276 	           cellular response to cadmium ion	38	4	0.08	13	1.4e-06	1.4e-06	1.4e-06
36	222	GO:0007267 	                        cell-cell signaling	1228	7	2.69	408	0.01594	0.04331	5.5e-05
37	222	GO:0045080 	positive regulation of chemokine biosynt...	8	2	0.02	62	0.00013	0.00013	0.00013
38	222	GO:0006954 	                      inflammatory response	763	11	1.67	12	4.6e-07	0.00023	0.00015
39	222	GO:0071639 	positive regulation of monocyte chemotac...	10	2	0.02	70	0.00021	0.00021	0.00021
40	222	GO:0042130 	negative regulation of T cell proliferat...	55	3	0.12	73	0.00023	0.00023	0.00023
41	222	GO:0010273 	               detoxification of copper ion	16	2	0.04	97	0.00055	0.00055	0.00055
42	222	GO:0042448 	             progesterone metabolic process	17	2	0.04	104	0.00062	0.00062	0.00062
43	222	GO:0038111 	   interleukin-7-mediated signaling pathway	19	2	0.04	113	0.00078	0.00078	0.00078
44	222	GO:0070233 	negative regulation of T cell apoptotic ...	19	2	0.04	114	0.00078	0.00078	0.00078
45	26	GO:0031146 	SCF-dependent proteasomal ubiquitin-depe...	73	4	0.20	25	4.8e-05	4.8e-05	4.8e-05
46	26	GO:0008015 	                          blood circulation	496	5	1.36	319	0.01139	0.04351	0.00037
47	26	GO:0060333 	interferon-gamma-mediated signaling path...	90	6	0.25	3	1.6e-07	0.00063	0.00063
48	26	GO:0035458 	       cellular response to interferon-beta	15	2	0.04	67	0.00076	0.00076	0.00076
49	28	GO:0030238 	          male sex determination        14 	2	0.04	5	0.00056	0.00056	0.00056	0.00079
50	307	GO:0070098 	       chemokine-mediated signaling pathway	82	6	0.32	46	8.2e-07	8.2e-07	8.2e-07
51	307	GO:0007267 	                        cell-cell signaling	1228	16	4.82	86	1.7e-05	1.7e-05	1.8e-06
52	307	GO:0030593 	                      neutrophil chemotaxis	89	8	0.35	12	2.1e-09	2.8e-06	1.8e-06
53	307	GO:0002548 	                        monocyte chemotaxis	63	5	0.25	65	4.8e-06	4.8e-06	4.8e-06
54	307	GO:0008285 	negative regulation of cell proliferatio...	655	13	2.57	54	1.4e-06	2.2e-05	6.0e-06
55	307	GO:0010469 	            regulation of receptor activity	572	11	2.25	80	1.3e-05	1.3e-05	1.3e-05
56	307	GO:0050729 	positive regulation of inflammatory resp...	119	8	0.47	23	2.1e-08	4.3e-06	2.6e-05
57	307	GO:0010288 	                       response to lead ion	22	4	0.09	55	1.5e-06	1.5e-06	4.3e-05
58	307	GO:0071356 	cellular response to tumor necrosis fact...	289	7	1.13	122	0.00014	0.00014	0.00014
59	307	GO:0010575 	positive regulation of vascular endothel...	27	3	0.11	125	0.00016	0.00016	0.00016
60	307	GO:0090023 	positive regulation of neutrophil chemot...	30	3	0.12	135	0.00022	0.00022	0.00022
61	307	GO:0035234 	    ectopic germ cell programmed cell death	6	2	0.02	137	0.00023	0.00023	0.00023
62	307	GO:0048661 	positive regulation of smooth muscle cel...	76	4	0.30	138	0.00023	0.00023	0.00023
63	307	GO:0032496 	             response to lipopolysaccharide	323	10	1.27	43	5.0e-07	0.00024	0.00024
64	307	GO:0006954 	                      inflammatory response	763	20	3.00	1	7.1e-12	2.0e-05	0.00027
65	307	GO:0031622 	    positive regulation of fever generation	7	2	0.03	153	0.00032	0.00032	0.00032
66	307	GO:0071346 	      cellular response to interferon-gamma	174	5	0.68	186	0.00061	0.00061	0.00032
67	307	GO:0042102 	positive regulation of T cell proliferat...	92	4	0.36	170	0.00047	0.00047	0.00047
68	307	GO:0033574 	                   response to testosterone	42	3	0.16	185	0.00060	0.00060	0.00060
69	307	GO:0032755 	positive regulation of interleukin-6 pro...	73	4	0.29	130	0.00019	0.00019	0.00062
70	307	GO:0071639 	positive regulation of monocyte chemotac...	10	2	0.04	188	0.00067	0.00067	0.00067
71	307	GO:0045086 	positive regulation of interleukin-2 bio...	12	2	0.05	210	0.00098	0.00098	0.00098
72	307	GO:0050872 	             white fat cell differentiation	12	2	0.05	211	0.00098	0.00098	0.00098
73	312	GO:0060337 	        type I interferon signaling pathway	87	9	0.12	3	1.3e-15	1.3e-15	1.3e-15
74	312	GO:0051607 	                  defense response to virus	252	12	0.34	2	1.1e-16	6.3e-14	6.3e-14
75	312	GO:0045071 	negative regulation of viral genome repl...	53	6	0.07	13	6.7e-11	6.7e-11	6.7e-11
76	312	GO:0060700 	        regulation of ribonuclease activity	9	3	0.01	29	1.8e-07	1.8e-07	1.8e-07
77	312	GO:0032020 	                  ISG15-protein conjugation	6	2	0.01	40	2.6e-05	2.6e-05	2.6e-05
78	312	GO:0003374 	dynamin polymerization involved in mitoc...	9	2	0.01	43	6.2e-05	6.2e-05	6.2e-05
79	312	GO:0035457 	      cellular response to interferon-alpha	10	2	0.01	45	7.8e-05	7.8e-05	7.8e-05
80	312	GO:0060333 	interferon-gamma-mediated signaling path...	90	3	0.12	48	0.00023	0.00023	0.00023
81	312	GO:1904707 	positive regulation of vascular smooth m...	27	2	0.04	53	0.00060	0.00060	0.00060
82	317	GO:0010469 	            regulation of receptor activity	572	13	2.12	25	1.4e-07	1.4e-07	1.4e-07
83	317	GO:0031295 	                       T cell costimulation	77	5	0.29	58	9.6e-06	9.6e-06	9.6e-06
84	317	GO:0070098 	       chemokine-mediated signaling pathway	82	5	0.30	65	1.3e-05	1.3e-05	1.3e-05
85	317	GO:0042102 	positive regulation of T cell proliferat...	92	5	0.34	73	2.3e-05	2.3e-05	2.3e-05
